iter	MultiClass
0	0.9802326163
1	0.8889286742
2	0.7900517588
3	0.7218978891
4	0.6566149432
5	0.5993938218
6	0.5504836478
7	0.5072013157
8	0.4654695597
9	0.4398063698
10	0.4066271789
11	0.3806888875
12	0.3558208658
13	0.3339689545
14	0.311454904
15	0.2951536938
16	0.2792701342
17	0.2629985803
18	0.2481824447
19	0.2383648722
20	0.2276034153
21	0.2159356612
22	0.208607234
23	0.2006445141
24	0.1922092302
25	0.184698684
26	0.179881079
27	0.1726700633
28	0.1671488394
29	0.1604120797
30	0.1561884127
31	0.1513606013
32	0.1483322822
33	0.1433329432
34	0.1394946375
35	0.1353783234
36	0.1308460349
37	0.1268080109
38	0.1221823229
39	0.1198610269
40	0.1172584869
41	0.1143761408
42	0.1126457438
43	0.110060371
44	0.1083610327
45	0.1067705553
46	0.1043369984
47	0.1029543976
48	0.1016048556
49	0.09970597589
50	0.09838278189
51	0.09685141575
52	0.09471687904
53	0.09319501565
54	0.09187986015
55	0.09026793991
56	0.08870900893
57	0.08778088605
58	0.08691894285
59	0.08534109111
60	0.08438880536
61	0.08331782132
62	0.08223332603
63	0.08133077957
64	0.07990391791
65	0.07888012588
66	0.07715278089
67	0.07534649282
68	0.074447428
69	0.07334524963
70	0.07248007094
71	0.07176899633
72	0.07100228294
73	0.06951608598
74	0.06806822109
75	0.0671565379
76	0.06609371743
77	0.06552620876
78	0.06497147756
79	0.06364468429
80	0.0633394831
81	0.06269396609
82	0.06160570298
83	0.06084879222
84	0.05972774555
85	0.05921081464
86	0.05869018605
87	0.05835341127
88	0.05768705861
89	0.05721295362
90	0.05674772376
91	0.05608462186
92	0.05547086878
93	0.05480243916
94	0.05458189309
95	0.05406782332
96	0.05328653823
97	0.05270509881
98	0.05225093889
99	0.05136846229
